,Model,Threshold,PC,PCS,AUC,AUC+
1,f2,27.0,0.058793983,0.09686662058371741,0.7961597542242704,0.8129185867895545
2,f3,27.0,0.058793983,0.09686662058371741,0.7961597542242704,0.8129185867895545
3,f4,27.0,0.058793983,0.09686662058371741,0.7961597542242704,0.8129185867895545
0,f1,28.0,0.054504767999999995,0.09013141025641032,0.7936364850427351,0.8114983974358974
1,f2,28.0,0.054504767999999995,0.09013141025641032,0.7936364850427351,0.8114983974358974
2,f3,28.0,0.054504767999999995,0.09013141025641032,0.7936364850427351,0.8114983974358974
3,f4,28.0,0.054504767999999995,0.09013141025641032,0.7936364850427351,0.8114983974358974
0,f1,29.0,0.050658619,0.08754446225616451,0.7959437309749816,0.8144148849943262
1,f2,29.0,0.050658619,0.08754446225616451,0.7959437309749816,0.8144148849943262
2,f3,29.0,0.050658619,0.08754446225616451,0.7959437309749816,0.8144148849943262
3,f4,29.0,0.050658619,0.08754446225616451,0.7959437309749816,0.8144148849943262
0,f1,30.0,0.04438276099999999,0.08298185912932096,0.7988594805677803,0.8162771958098307
1,f2,30.0,0.04438276099999999,0.08298185912932096,0.7988594805677803,0.8162771958098307
2,f3,30.0,0.04438276099999999,0.08298185912932096,0.7988594805677803,0.8162771958098307
3,f4,30.0,0.04438276099999999,0.08298185912932096,0.7988594805677803,0.8162771958098307
0,f1,31.0,0.04040024,0.07938565308540704,0.7931592379910674,0.8138273630480357
1,f2,31.0,0.04040024,0.07938565308540704,0.7931592379910674,0.8138273630480357
2,f3,31.0,0.04040024,0.07938565308540704,0.7931592379910674,0.8138273630480357
3,f4,31.0,0.04040024,0.07938565308540704,0.7931592379910674,0.8138273630480357
0,f1,32.0,0.033070173,0.07187075860907641,0.7912211276697257,0.8135892902248043
1,f2,32.0,0.033070173,0.07187075860907641,0.7912211276697257,0.8135892902248043
2,f3,32.0,0.033070173,0.07187075860907641,0.7912211276697257,0.8135892902248043
3,f4,32.0,0.033070173,0.07187075860907641,0.7912211276697257,0.8135892902248043
0,f1,33.0,0.031319242000000004,0.07270934122871933,0.7959437453737972,0.8195262768319763
1,f2,33.0,0.031319242000000004,0.07270934122871933,0.7959437453737972,0.8195262768319763
2,f3,33.0,0.031319242000000004,0.07270934122871933,0.7959437453737972,0.8195262768319763
3,f4,33.0,0.031319242000000004,0.07270934122871933,0.7959437453737972,0.8195262768319763
0,f1,34.0,0.028554407,0.04942218449349177,0.808016245547455,0.8309364492825992
1,f2,34.0,0.028554407,0.04942218449349177,0.808016245547455,0.8309364492825992
2,f3,34.0,0.028554407,0.04942218449349177,0.808016245547455,0.8309364492825992
3,f4,34.0,0.028554407,0.04942218449349177,0.808016245547455,0.8309364492825992
0,f1,35.0,0.025130691999999996,0.043405580297666745,0.8044231281641353,0.8324959080354764
1,f2,35.0,0.025130691999999996,0.043405580297666745,0.8044231281641353,0.8324959080354764
2,f3,35.0,0.025130691999999996,0.043405580297666745,0.8044231281641353,0.8324959080354764
3,f4,35.0,0.025130691999999996,0.043405580297666745,0.8044231281641353,0.8324959080354764
0,f1,36.0,0.019865649,0.03372493798336503,0.7966827180310326,0.8283476822802665
1,f2,36.0,0.019865649,0.03372493798336503,0.7966827180310326,0.8283476822802665
2,f3,36.0,0.019865649,0.03372493798336503,0.7966827180310326,0.8283476822802665
